更新时间: 2026-04-04 02:29:23（北京时间）

更新时间,#genre#
2026-04-04 02:29:23,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV10,http://183.191.140.139:8001/rtp/226.0.2.162:9208$山西联通
CCTV10,http://223.10.214.111:6000/rtp/239.1.1.17:8017$山西电信
CCTV10,http://106.59.2.184:55555/rtp/239.200.200.107:8116$云南电信
CCTV10,http://115.171.216.84:4000/rtp/225.1.8.10:8116$北京市电信
CCTV11,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV11,http://180.109.221.48:7000/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://27.223.143.225:4001/rtp/239.253.254.169:8000$山东联通
CCTV11,http://223.10.214.111:6000/rtp/239.1.1.18:8018$山西电信
CCTV11,http://106.59.2.184:55555/rtp/239.200.201.125:8480$云南电信
CCTV11,http://115.171.216.84:4000/rtp/225.1.8.73:8120$北京市电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV12,http://180.109.221.48:7000/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://27.223.143.225:4001/rtp/239.253.254.235:8000$山东联通
CCTV12,http://183.191.140.139:8001/rtp/226.0.2.164:9224$山西联通
CCTV12,http://223.10.214.111:6000/rtp/239.1.1.19:8019$山西电信
CCTV12,http://106.59.2.184:55555/rtp/239.200.200.27:8232$云南电信
CCTV12,http://115.171.216.84:4000/rtp/225.1.8.12:8124$北京市电信
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV13,http://180.109.221.48:7000/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://27.223.143.225:4001/rtp/239.253.254.175:8000$山东联通
CCTV13,http://183.191.140.139:8001/rtp/226.0.2.165:9232$山西联通
CCTV13,http://223.10.214.111:6000/rtp/239.1.1.20:8020$山西电信
CCTV13,http://106.59.2.184:55555/rtp/239.200.200.4:8484$云南电信
CCTV13,http://115.171.216.84:4000/rtp/225.1.8.168:8130$北京市电信
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV14,http://180.109.221.48:7000/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://27.223.143.225:4001/rtp/239.253.254.236:8000$山东联通
CCTV14,http://183.191.140.139:8001/rtp/226.0.2.166:9240$山西联通
CCTV14,http://223.10.214.111:6000/rtp/239.1.1.21:8021$山西电信
CCTV14,http://106.59.2.184:55555/rtp/239.200.200.28:8236$云南电信
CCTV14,http://115.171.216.84:4000/rtp/225.1.8.14:8132$北京市电信
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV15,http://180.109.221.48:7000/rtp/239.49.0.128:8000$江苏电信
CCTV15,http://27.223.143.225:4001/rtp/239.253.254.170:8000$山东联通
CCTV15,http://223.10.214.111:6000/rtp/239.1.1.22:8022$山西电信
CCTV15,http://106.59.2.184:55555/rtp/239.200.201.112:8496$云南电信
CCTV15,http://115.171.216.84:4000/rtp/225.1.8.74:8136$北京市电信
CCTV16,http://180.109.221.48:7000/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://183.191.140.139:8001/rtp/226.0.2.169:9264$山西联通
CCTV16,http://223.10.214.111:6000/rtp/239.1.1.122:8122$山西电信
CCTV16,http://106.59.2.184:55555/rtp/239.200.200.193:8776$云南电信
CCTV16,http://106.59.2.184:55555/rtp/239.200.200.194:8780$云南电信
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV17,http://180.109.221.48:7000/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://27.223.143.225:4001/rtp/239.253.254.168:8000$山东联通
CCTV17,http://183.191.140.139:8001/rtp/226.0.2.170:9272$山西联通
CCTV17,http://223.10.214.111:6000/rtp/239.1.1.23:8023$山西电信
CCTV17,http://106.59.2.184:55555/rtp/239.200.201.128:8504$云南电信
CCTV17,http://115.171.216.84:4000/rtp/225.1.8.17:8144$北京市电信
兵器科技,http://183.191.140.139:8001/rtp/226.0.2.223:9696$山西联通
兵器科技,http://223.10.214.111:6000/rtp/239.1.1.97:8097$山西电信
兵器科技,http://106.59.2.184:55555/rtp/239.200.200.91:8036$云南电信
风云音乐,http://183.191.140.139:8001/rtp/226.0.2.220:9672$山西联通
风云音乐,http://223.10.214.111:6000/rtp/239.1.1.96:8096$山西电信
风云音乐,http://106.59.2.184:55555/rtp/239.200.200.86:8008$云南电信
风云足球,http://183.191.140.139:8001/rtp/226.0.2.225:9712$山西联通
风云足球,http://223.10.214.111:6000/rtp/239.1.1.101:8101$山西电信
风云足球,http://106.59.2.184:55555/rtp/239.200.200.88:8020$云南电信
风云剧场,http://183.191.140.139:8001/rtp/226.0.2.227:9728$山西联通
风云剧场,http://223.10.214.111:6000/rtp/239.1.1.93:8093$山西电信
风云剧场,http://106.59.2.184:55555/rtp/239.200.200.84:8016$云南电信
怀旧剧场,http://183.191.140.139:8001/rtp/226.0.2.224:9704$山西联通
怀旧剧场,http://223.10.214.111:6000/rtp/239.1.1.95:8095$山西电信
怀旧剧场,http://106.59.2.184:55555/rtp/239.200.200.85:8032$云南电信
第一剧场,http://183.191.140.139:8001/rtp/226.0.2.221:9680$山西联通
第一剧场,http://223.10.214.111:6000/rtp/239.1.1.94:8094$山西电信
第一剧场,http://106.59.2.184:55555/rtp/239.200.200.82:8004$云南电信
女性时尚,http://183.191.140.139:8001/rtp/226.0.2.226:9720$山西联通
女性时尚,http://223.10.214.111:6000/rtp/239.1.1.89:8089$山西电信
女性时尚,http://106.59.2.184:55555/rtp/239.200.200.100:8084$云南电信
世界地理,http://183.191.140.139:8001/rtp/226.0.2.222:9688$山西联通
世界地理,http://223.10.214.111:6000/rtp/239.1.1.99:8099$山西电信
世界地理,http://106.59.2.184:55555/rtp/239.200.200.130:8012$云南电信
央视台球,http://183.191.140.139:8001/rtp/226.0.2.216:9640$山西联通
央视台球,http://223.10.214.111:6000/rtp/239.1.1.100:8100$山西电信
央视台球,http://106.59.2.184:55555/rtp/239.200.200.135:8076$云南电信
高尔夫网球,http://223.10.214.111:6000/rtp/239.1.1.102:8102$山西电信
高尔夫网球,http://106.59.2.184:55555/rtp/239.200.200.89:8024$云南电信
央视文化精品,http://183.191.140.139:8001/rtp/226.0.2.219:9664$山西联通
央视文化精品,http://223.10.214.111:6000/rtp/239.1.1.91:8091$山西电信
央视文化精品,http://106.59.2.184:55555/rtp/239.200.200.92:8028$云南电信
电视指南,http://183.191.140.139:8001/rtp/226.0.2.218:9656$山西联通
电视指南,http://223.10.214.111:6000/rtp/239.1.1.90:8090$山西电信
电视指南,http://106.59.2.184:55555/rtp/239.200.200.83:8000$云南电信
中学生,http://223.10.214.111:6000/rtp/239.1.1.104:8104$山西电信
中学生,http://106.59.2.184:55555/rtp/239.200.200.136:8060$云南电信
发现之旅,http://223.10.214.111:6000/rtp/239.1.1.103:8103$山西电信
发现之旅,http://106.59.2.184:55555/rtp/239.200.201.164:8128$云南电信
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信
国学频道,http://183.191.140.139:8001/rtp/226.0.2.116:8840$山西联通
国学频道,http://106.59.2.184:55555/rtp/239.200.200.97:8108$云南电信
环球奇观,http://183.191.140.139:8001/rtp/226.0.2.111:8800$山西联通
环球奇观,http://223.10.214.111:6000/rtp/239.1.1.98:8098$山西电信
环球奇观,http://106.59.2.184:55555/rtp/239.200.200.94:8100$云南电信

卫视频道,#genre#
